hotelcode,hotelid,hotelname
151628,S131019,ＴＨＥ ＧＡＴＥ ＨＯＴＥＬ 両国 ｂｙＨＵＬＩＣ
151629,S131020,ＴＨＥ ＧＡＴＥ ＨＯＴＥＬ 東京 ｂｙＨＵＬＩＣ
151687,S131023,ＰＥＴＡＬＳ ＴＯＫＹＯ
151737,S131025,ホテルグランバッハ東京銀座
152958,S131066,オークウッドプレミア東京
2275,S140001,横浜ベイシェラトンホテル＆タワーズ
2280,S140006,ヨコハマグランドインターコンチネンタルホテル
2281,S140007,横浜ベイホテル東急
2282,S140008,横浜ロイヤルパークホテル
2284,S140010,ホテルニューグランド
2321,S140047,鎌倉プリンスホテル
2357,S140083,ホテルはつはな
2365,S140091,富士屋ホテル
2366,S140092,箱根吟遊
2389,S140115,箱根ハイランドホテル
2396,S140122,山のホテル
2397,S140123,ザ・プリンス箱根芦ノ湖 別館
2398,S140124,龍宮殿
2400,S140126,ザ・プリンス箱根芦ノ湖 本館
2404,S140130,箱根ホテル
2405,S140131,箱根湯の花プリンスホテル
56364,S140201,遊心亭
59063,S140212,真奈邸箱根
59864,S140215,海石榴 つばき
69244,S140264,オーベルジュ オー・ミラドー
78043,S140299,玉庭
85625,S140325,箱根 花紋
136004,S140454,箱根小涌園 天悠
141831,S140468,強羅温泉 雪月花別邸 翠雲
148127,S140491,インターコンチネンタル横浜Ｐｉｅｒ８
148334,S140493,ハイアットリージェンシー横浜
148375,S140496,ザ・カハラ・ホテル＆リゾート 横浜
149690,S140508,オークウッドスイーツ横浜
151042,S140545,箱根強羅 白檀
151631,S140554,ｂａｒ ｈｏｔｅｌ 箱根香山
151653,S140555,箱根 料理宿 弓庵
151677,S140556,玄 箱根強羅
152041,S140560,全室露天風呂付客室 センチュリオン箱根別邸
152104,S140562,強羅花扇
152168,S140563,ホテル四季の館 箱根芦ノ湖
152346,S140565,懐石旅庵 阿しか里
152594,S140568,ウェスティンホテル横浜
153177,S140571,ラ・クラッセ・ドゥ・シェネガ
153492,S140573,金乃竹 仙石原
153493,S140574,ＨＯＴＥＬ 坐楽閑
153495,S140576,金乃竹 塔ノ澤
153496,S140577,松坂屋本店
2406,S150001,大観荘せなみの湯
2412,S150007,四季の郷 喜久屋
2414,S150009,白玉の湯 泉慶
2415,S150010,白玉の湯 華鳳
2427,S150022,ホテル日航新潟
2429,S150024,ホテルオークラ新潟
2430,S150025,ＡＮＡクラウンプラザホテル新潟
2469,S150064,大佐渡温泉 ホテル大佐渡
2470,S150065,佐渡リゾート ホテル吾妻
2484,S150079,和泉屋
2499,S150094,ｒｙｕｇｏｎ
2502,S150097,ひなの宿ちとせ
2503,S150098,当間高原リゾート・ベルナティオ
49163,S150224,新潟・岩室温泉・自家源泉の宿・富士屋
51343,S150231,四季Ｆｏｕｒ Ｓｅａｓｏｎｓ ＹＵＺＡＷＡ ＱＵＡＴＴＲＯ
80965,S150342,嵐渓荘
102083,S150409,白玉の湯 華鳳 別邸 越の里
116524,S150506,著莪の里 ゆめや
141755,S150587,ロッテアライリゾート
151164,S150619,環翠楼
2547,S160003,延楽
2549,S160005,黒部・宇奈月温泉 やまのは
2559,S160015,富山エクセルホテル東急
2560,S160016,ＡＮＡクラウンプラザホテル富山
2571,S160027,オークスカナルパークホテル富山
2581,S160037,氷見温泉郷 くつろぎの宿 うみあかり
2587,S160043,大牧温泉 観光旅館
58883,S160068,桜ヶ池クアガーデン
69003,S160074,お宿 いけがみ
153361,S160138,ダブルツリーｂｙヒルトン富山
2589,S170002,輪島温泉 八汐
2590,S170003,海遊 能登の庄
2595,S170008,加賀屋
2596,S170009,あえの風
2597,S170010,日本の宿のと楽
2598,S170011,多田屋
2599,S170012,ゆけむりの宿 美湾荘
2609,S170022,金沢東急ホテル
2610,S170023,金沢白鳥路 ホテル山楽
2612,S170025,ホテル日航金沢
2613,S170026,金沢 茶屋
2621,S170034,金城樓
2636,S170049,まつさき
2653,S170066,吉祥やまなか
2655,S170068,胡蝶
2657,S170070,花紫
2659,S170072,厨八十八
2663,S170076,瑠璃光
2664,S170077,葉渡莉
2665,S170078,ゆのくに天祥
2668,S170081,たちばな四季亭
2669,S170082,森の栖 リゾート＆スパ
2678,S170091,法師
51064,S170124,深谷温泉 元湯石屋
59283,S170149,ホテル ききょう
127703,S170226,加賀屋別邸 松乃碧
141923,S170237,雨庵 金沢
149284,S170256,白鷺の湯 能登 海舟
149287,S170257,ハイアット ハウス 金沢
151367,S170266,旅亭 萬葉
151648,S170268,薪の音 金澤
151671,S170270,山乃尾別邸 緑草音
151674,S170271,ホテル らしく金沢
152350,S170277,金茶寮
152939,S170280,ＴＨＥ ＨＯＴＥＬ ＳＡＮＲＡＫＵ ＫＡＮＡＺＡＷＡ
153277,S170281,山代温泉 みやびの宿 加賀百万石 別邸「奏」
153487,S170282,ＳＯＫＩ ＫＡＮＡＺＡＷＡ
2685,S180002,まつや千千
2686,S180003,グランディア芳泉
2689,S180006,伝統旅館のぬくもり 灰屋
2690,S180007,つるや
145635,S180185,永平寺 親禅の宿 柏樹關
2748,S190031,慶雲館
2755,S190038,風のテラス ＫＵＫＵＮＡ（くくな）
2756,S190039,秀峰閣 湖月
2757,S190040,湖南荘
2763,S190046,うぶや
153605,S190334,フォレストヴィレッジ
153628,S190335,ＶＩＳＩＯＮ ＧＬＡＭＰＩＮＧ Ｒｅｓｏｒｔ＆Ｓｐａ 山中湖（ビジョングランピングリゾート）
2843,S200044,ホテルグランフェニックス奥志賀
2864,S200065,上林ホテル仙壽閣
2888,S200089,ホテルメトロポリタン長野
2904,S200105,貴賓館 旅亭たかの
2906,S200107,笹屋ホテル
2917,S200118,旅館花屋
2939,S200140,軽井沢プリンスホテル イーストフォレストツイン
2941,S200142,ザ・プリンス軽井沢
2944,S200145,軽井沢浅間プリンスホテル
2945,S200146,万平ホテル
2946,S200147,ホテル鹿島ノ森
2954,S200155,ホテル紅や
2956,S200157,浜の湯
2960,S200161,布半
2970,S200171,蓼科東急ホテル
2989,S200190,八ヶ岳高原ロッジ
3002,S200203,ホテル シェラリゾート白馬
3005,S200206,白馬東急ホテル
3014,S200215,白馬リゾートホテル・ラ・ネージュ東館
3033,S200234,ＡＮＡホリデイ・インリゾート信濃大町くろよん
3054,S200255,翔峰
3057,S200258,明神館
3061,S200262,湯元齋藤旅館
3067,S200268,上高地ルミエスタホテル
62783,S200405,たてしな 藍
93583,S200687,渓谷に佇む隠れ宿 峡泉
109167,S200783,昼神の棲 玄竹
111726,S200802,七草の湯
132643,S200905,軽井沢マリオットホテル
141397,S200929,ルシアン旧軽井沢
